Longitude,Latitude,Type,Name,Street,City,State,Zip_Code,Score
-73.962452,40.709828,Best Burgers,Peter Luger,178 Broadway,Brooklyn,NY,11211,5
-73.849069,40.755916,Halls of Fame,New York Mets Hall of Fame,123-01 Roosevelt Ave,Flushing-Queens,NY,11368,5
-73.303341,40.82922,Halls of Fame,National Jewish Sports Hall of Fame and Museum,74 Hauppauge Road,Commack,NY,11725,5
-73.419764,40.752605,Theme Park,Adventureland Amusement Park,2245 Broad Hollow Road (RT. 110),Farmingdale,NY,11735,5
-72.730441,40.924221,Theme Park,Splish Splash,2549 Splish Splash Drive,Calverton,NY,11933,5
-73.697225,43.352495,Theme Park,The Great Escape & Splashwater Kingdom,89 Six Flags Dr,Queensbury,NY,12804,5
-73.702284,43.397008,Theme Park,Magic Forest,1912 State Route 9,Lake George,NY,12845,5
-73.773411,43.076264,Halls of Fame,U.S. National Museum of Racing and Hall of Fame,191 Union Ave,Saratoga Springs,NY,12866,5
-73.790244,43.065892,Halls of Fame,National Museum of Dance and Hall of Fame,99 S Broadway,Saratoga Springs,NY,12866,5
-75.749813,43.08938,Halls of Fame,International Boxing Hall of Fame,360 N Peterboro St,Canastota,NY,13032,5
-76.797694,42.910936,Halls of Fame,National Women's Hall of Fame,76 Fall St,Seneca Falls,NY,13148,5
-74.92321,42.699958,Halls of Fame,National Baseball Hall of Fame and Museum,25 Main St,Cooperstown,NY,13326,5
-75.228271,43.103216,Halls of Fame,National Distance Running Hall of Fame,114 Genesee St,Utica,NY,13502,5
-75.112942,42.447417,Halls of Fame,National Soccer Hall of Fame,West End ,New York,NY,13820,5
-77.600709,43.152744,Halls of Fame,National Toy Hall of Fame,1 Manhattan Square Dr,Rochester,NY,14607,5
-77.542123,43.231634,Theme Park,Seabreeze Amusement Park,4600 Culver Rd,Rochester,NY,14622,5
-79.863684,40.387588,Theme Park,Kennywood,4800 Kennywood Blvd,West Mifflin,PA,15122,5
-80.018185,40.445625,Halls of Fame,Robot Hall of Fame,1 Allegheny Ave,Pittsburgh,PA,15212,5
-80.510511,41.232948,Halls of Fame,Vocal Group Hall of Fame,82 W State St,Sharon,PA,16146,5
-76.654098,40.288746,Theme Park,Hersheypark,100 W Hersheypark Dr,Hershey,PA,17033,5
-76.21831,40.027031,Theme Park,Dutch Wonderland,2249 Lincoln Hwy E,Lancaster,PA,17602,5
-76.503917,40.877839,Theme Park,Knoebels Amusement Resort,391 Knoebels Blvd,Elysburg,PA,17824,5
-75.53387,40.578397,Theme Park,Dorney Park and Wildwater Kingdom,4000 Dorney Park Rd,Allentown,PA,18104,5
-74.872025,40.185381,Theme Park,Sesame Place,100 Sesame Rd,Langhorne,PA,19047,5
-75.130105,39.970539,Best Burgers,Sketch Burger,413 E Girard Ave,Philadelphia,PA,19125,5
-75.147224,39.918283,Halls of Fame,Hardcore Hall of Fame,2300 S. Swanson St.,Philadelphia,PA,19148,5
-75.166506,39.906067,Halls of Fame,Philadelphia Baseball Wall of Fame,1 Citizens Bank Way,Philadelphia,PA,19148,5
-75.458042,40.194215,Halls of Fame,USA Field Hockey Hall of Fame,601 E Main St,Collegeville,PA,19426,5
-75.564174,39.731809,Halls of Fame,Delaware Sports Museum and Hall of Fame,801 Shipyard Dr,Wilmington,DE,19801,5
-77.015461,38.88307,NASA Centers,NASA Headquarters,300 E Street SW,Washington,DC,20546,5
-76.77122,38.90111,Theme Park,Six Flags America,13710 Central Avenue,Upper Marlboro,MD,20721,5
-76.852809,38.991087,NASA Centers,Goddard Space Flight Center,8800 Greenbelt Road,Greenbelt,MD,20771,5
-76.621819,39.334673,Halls of Fame,Lacrosse Museum and National Hall of Fame,113 W University Pkwy,Baltimore,MD,21210,5
-77.077792,38.893924,Best Burgers,Ray?s to the Third,1650 Wilson Blvd,Arlington,VA,22209,5
-77.443676,37.839752,Theme Park,Kings Dominion,16000 Theme Park Way,Doswell,VA,23047,5
-76.636488,37.26166,Theme Park,Water Country USA,176 Water Country Pkwy,Williamsburg,VA,23185,5
-76.64448,37.23862,Theme Park,Busch Gardens Williamsburg,1 Busch Gardens Blvd.,Williamsburg,VA,23185,5
-75.42492,37.93678,NASA Centers,Goddard Wallops Flight Facility,292W Wallops Island,Wallops Island,VA,23337,5
-76.39344,37.101406,NASA Centers,Langely Research Center,60 Wythe Creek Rd,Hampton,VA,23666,5
-76.344318,37.024009,NASA Centers,Virginia Air & Space Center,600 Settlers Landing Rd,Hampton,VA,23669,5
-76.299085,36.835745,Halls of Fame,Virginia Sports Hall of Fame and Museum,206 High St,Portsmouth,VA,23704,5
-80.198,39.43057,NASA Centers,Goddard IV and V Facility,100 University Dr,Fairmont,WV,26554,5
-78.638475,35.781864,Halls of Fame,North Carolina Sports Hall of Fame,5 E Edenton St,Raleigh,NC,27601,5
-80.843668,35.221308,Halls of Fame,NASCAR Hall of Fame,400 E Martin Luther King Jr Blvd,Charlotte,NC,28202,5
-80.94987,35.10085,Theme Park,Camp Wilderness Resort,14523 Carowinds Blvd,Charlotte,NC,28273,5
-84.549689,33.768444,Theme Park,Six Flags Over Georgia,275 Riverside Pkwy SW,Austell,GA,30168,5
-84.389328,33.771693,Best Burgers,The Varsity,61 North Ave NW,Atlanta,GA,30308,5
-84.384481,33.779063,Best Burgers,The Vortex,878 Peachtree St NE,Atlanta,GA,30309,5
-84.390386,33.815928,Best Burgers,Holeman & Finch Public House,2277 Peachtree Rd NE,Atlanta,GA,30309,5
-84.395761,33.760558,Halls of Fame,College Football Hall of Fame,250 Marietta St NW,Atlanta,GA,30313,5
-84.388624,33.734836,Halls of Fame,Atlanta Braves Museum and Hall of Fame,755 Hank Aaron Dr SE,Atlanta,GA,30315,5
-83.624836,32.834615,Halls of Fame,Georgia Sports Hall of Fame,301 Cherry St,Macon,GA,31201,5
-83.323633,30.720167,Theme Park,Wild Adventures Theme Park,3766 Old Clyattville Rd,Valdosta,GA,31601,5
-81.47035,29.991151,Halls of Fame,World Golf Hall of Fame,1 World Golf Pl,St Augustine,FL,32092,5
-80.782462,28.526152,Halls of Fame,U.S. Astronaut Hall of Fame,6225 Vectorspace Blvd,Titusville,FL,32780,5
-80.783955,28.52668,Halls of Fame,American Police Hall of Fame & Museum,6350 Horizon Dr,Titusville,FL,32780,5
-80.808883,28.610405,Halls of Fame,US Space Walk of Fame Museum,308 Pine St,Titusville,FL,32796,5
-81.467443,28.474425,Theme Park,Universal Studios Orlando,6000 Universal Blvd,Orlando,FL,32819,5
-81.45617,28.415694,Theme Park,Aquatica SeaWorld's Waterpark,5800 Water Play Way,Orlando,FL,32821,5
-81.46137,28.411502,Theme Park,SeaWorld Orlando,7007 Sea World Dr,Orlando,FL,32821,5
-81.461605,28.405421,Theme Park,Discovery Cove,6000 Discovery Cove Way,Orlando,FL,32821,5
-81.57325,28.39472,Theme Park,Walt Disney World's Magic Kingdom,1180 Seven Seas Dr,Lake Buena,FL,32830,5
-80.19352,25.765221,Best Burgers,Burger & Beer Joint,900 S Miami Ave #130,Miami,FL,33130,5
-80.282606,25.714431,Halls of Fame,University of Miami Sports Hall of Fame,5821 San Amaro Drive,Coral Gables,FL,33146,5
-80.105902,26.11648,Halls of Fame,International Swimming Hall of Fame,1 Hall of Fame Dr,Fort Lauderdale,FL,33316,5
-82.412671,28.041728,Theme Park,Adventure Island Water Park,10001 N. McKinley Drive,Tampa,FL,33612,5
-82.416036,28.038121,Theme Park,Busch Gardens Tampa,10165 N McKinley Dr,Tampa,FL,33612,5
-81.820463,28.095354,Halls of Fame,Florida Sports Hall of Fame,905 Lake Myrtle Park Drive,Auburndale,FL,33823,5
-86.072406,33.578323,Halls of Fame,International Motorsports Hall of Fame,3198 Speedway Blvd,Talladega,AL,35160,5
-86.810039,33.525765,Halls of Fame,Alabama Sports Hall of Fame,2150 Richard Arrington Jr Blvd N,Birmingham,AL,35203,5
-86.81185,33.514943,Halls of Fame,Alabama Jazz Hall of Fame,1631 4th Ave N,Birmingham,AL,35203,5
-87.303557,30.349697,Halls of Fame,Naval Aviation Hall of Honor,1750 Radford Blvd,Pensacola,FL,35206,5
-87.706904,34.713003,Halls of Fame,Alabama Music Hall of Fame,617 U.S. 72,Tuscumbia,AL,35674,5
-86.65475,34.71225,NASA Centers,Marshall Space Flight Center,1 Tranquility Base,Huntsville,AL,35805,5
-86.776131,36.158278,Halls of Fame,Country Music Hall of Fame,222 5th Ave S,Nashville,TN,37203,5
-86.776646,36.15936,Halls of Fame,Music City Walk of Fame,4th Ave S,Nashville,TN,37203,5
-86.778207,36.156741,Halls of Fame,Nashville Songwriters Foundation,6th Ave S & Demonbreun St,Nashville,TN,37203,5
-83.533907,35.794979,Theme Park,Dollywood,2700 Dollywood Parks Blvd,Pigeon Forge,TN,37863,5
-83.91108,35.963199,Halls of Fame,Women's Basketball Hall of Fame,700 Hall of Fame Dr,Knoxville,TN,37915,5
-88.817324,35.614779,Halls of Fame,Rockabilly Hall of Fame,105 N Church St,Jackson,TN,38301,5
-90.075115,32.31014,Halls of Fame,Mississippi Musicians Hall of Fame,100 International Dr,Jackson,MS,39208,5
-90.15592,32.336685,Halls of Fame,Mississippi Sports Hall of Fame,1152 Lakeland Dr,Jackson,MS,39216,5
-89.62419,30.38033,NASA Centers,Stennis Space Center,Hwy 607,Stennis Space Center,MS,39529,5
-87.1098,37.775228,Halls of Fame,International Bluegrass Music Hall of Fame,5710 Hwy 144,Owensboro,KY,42303,5
-82.782808,39.933784,Halls of Fame,Motorcycle Hall of Fame,13515 Yarmouth Dr,Pickerington,OH,43147,5
-82.99108,39.939472,Best Burgers,Thurman Cafe,183 Thurman Ave,Columbus,OH,43206,5
-83.021166,40.010719,Halls of Fame,Ohio State Varsity O Hall of Fame,2400 Olentangy River Rd,Columbus,OH,43210,5
-81.695377,41.508542,Halls of Fame,Rock and Roll Hall of Fame,1100 E 9th St,Cleveland,OH,44114,5
-81.526941,41.598378,Halls of Fame,Polka Hall of Fame,605 E 222nd St,Cleveland,OH,44123,5
-81.854496,41.418747,NASA Centers,NASA Glenn Research Center,21000 Brookpark Road,Cleveland,OH,44135,5
-81.517042,41.079024,Halls of Fame,National Inventors Hall of Fame,199 S Broadway St,Akron,OH,44308,5
-81.397848,40.821113,Halls of Fame,Pro Football Hall of Fame,2121 George Halas Dr NW,Canton,OH,44708,5
-82.683604,41.481944,Theme Park,Cedar Point Amusement,1 Cedar Point Dr,Sandusky,OH,44870,5
-84.25832,39.35745,Theme Park,Kings Island Theme Park,6300 Kings Island Dr,Maineville,OH,45039,5
-84.508503,39.097443,Halls of Fame,Cincinnati Reds Hall of Fame and Museum,100 Joe Nuxhall Way,Cincinnati,OH,45202,5
-84.518509,39.108589,Halls of Fame,American Classical Music Hall of Fame and Museum,1225 Elm St,Cincinnati,OH,45202,5
-84.110375,39.781725,Halls of Fame,National Aviation Hall of Fame,1100 Spaatz St,Dayton,OH,45433,5
-82.105604,39.323292,Halls of Fame,Kermit Blosser Ohio Athletics Hall of Fame,95 Richland Ave,Athens,OH,45701,5
-86.171501,39.768139,Halls of Fame,NCAA Hall of Champions,700 W Washington St,Indianapolis,IN,46204,5
